Rang,Joueur,Poste,Age,Valeur,Buts_2021,Passes_2021,Minutes_2021,Buts_2022,Passes_2022,Minutes_2022,Buts_total,Passes_total,Minutes_total
1,Erling Haaland,Avant-Centre,23,180.0,29,8,2388,52,9,4131,189,45,16189
2,Kylian Mbappé,Avant-Centre,24,180.0,39,26,3903,41,10,3564,244,116,24452
3,Vinicius Junior,Ailier Gauche,23,150.0,22,20,4272,23,21,4759,73,69,18064
4,Bukayo Saka,Ailier Droit,21,120.0,12,7,3353,15,11,3744,61,58,17186
5,Victor Osimhen,Avant-Centre,24,120.0,18,6,2310,31,5,3021,97,24,13467
6,Phil Foden,Ailier Gauche,23,110.0,14,11,3184,15,8,2660,81,54,16048
7,Rodrygo,Ailier Droit,22,100.0,9,10,2436,19,11,3851,53,38,13376
8,Rafael Leão,Ailier Gauche,24,90.0,14,12,3201,16,15,3487,66,43,13546
9,Harry Kane,Avant-Centre,30,90.0,27,10,4250,32,5,4302,307,80,39732
10,Khvicha Kvaratskhelia,Ailier Gauche,22,85.0,10,7,2430,14,17,3238,36,41,10720
11,Lautaro Martínez,Avant-Centre,25,85.0,25,4,3292,28,11,4117,129,42,19897
12,Gabriel Martinelli,Ailier Gauche,22,80.0,6,7,2327,15,6,3440,33,20,8231
13,Randal Kolo Muani,Avant-Centre,24,80.0,13,7,3402,23,17,3633,63,42,14356
14,Christopher Nkunku,Deuxième Attaquant,25,80.0,35,20,4271,23,9,2732,95,66,19366
15,Marcus Rashford,Ailier Gauche,25,80.0,5,2,1658,30,11,4300,128,68,24770
16,Luis Díaz,Ailier Gauche,26,75.0,22,11,3956,5,3,1354,76,37,20551
17,Gabriel Jesus,Avant-Centre,26,75.0,13,12,2570,11,8,2347,127,60,20597
18,Jack Grealish,Ailier Gauche,27,75.0,6,4,2730,5,11,3486,54,74,27586
19,Dusan Vlahovic,Avant-Centre,23,70.0,29,6,3679,14,4,2945,95,16,14060
20,Alexander Isak,Avant-Centre,23,70.0,10,3,2761,11,3,1834,94,22,15458
21,Darwin Núñez,Avant-Centre,24,65.0,34,4,2821,15,4,2365,83,24,11792
22,Kingsley Coman,Ailier Gauche,27,65.0,8,6,2085,9,7,2170,60,65,17804
23,Leroy Sané,Ailier Droit,27,65.0,14,15,2977,14,10,2765,110,111,26228
24,Mohamed Salah,Ailier Droit,31,65.0,31,16,4014,30,16,4296,263,133,42397
25,Antony,Ailier Droit,23,60.0,12,10,2535,10,5,3369,36,31,11570
26,Julián Álvarez,Avant-Centre,23,60.0,18,6,2157,17,5,2524,71,37,10656
27,Jonathan David,Avant-Centre,23,60.0,19,0,3648,26,4,3420,95,24,15743
28,Raphinha,Ailier Droit,26,60.0,11,3,2967,10,12,2924,72,50,20745
29,Ousmane Dembélé,Ailier Droit,26,60.0,2,13,1942,8,9,2169,62,70,16549
30,Neymar,Ailier Gauche,31,60.0,13,8,2328,18,17,2361,294,190,40599
31,Cody Gakpo,Ailier Gauche,24,55.0,21,15,3398,20,20,3820,89,64,17037
32,Serge Gnabry,Ailier Droit,28,55.0,17,9,2749,17,12,2572,122,73,22468
33,Raheem Sterling,Ailier Gauche,28,55.0,17,9,3088,9,4,2561,171,134,38951
34,Gonçalo Ramos,Avant-Centre,22,50.0,8,4,2446,27,12,3478,68,25,10196
35,Mykhaylo Mudryk,Ailier Gauche,22,50.0,2,9,866,10,10,2178,12,21,5115
36,João Félix,Deuxième Attaquant,23,50.0,10,6,2049,9,3,2144,72,35,14861
37,Dejan Kulusevski,Ailier Droit,23,50.0,7,11,2363,2,8,2417,60,61,17207
38,Moussa Diaby,Ailier Droit,24,50.0,17,14,3578,14,11,3886,61,61,17120
39,Diogo Jota,Ailier Gauche,26,50.0,21,8,3572,7,8,1394,112,57,21986
40,Heung-min Son,Ailier Gauche,31,50.0,24,10,3526,14,6,3788,210,94,39740
41,Richarlison,Avant-Centre,26,48.0,11,5,2749,3,4,1467,81,34,21998
42,Rasmus Højlund,Avant-Centre,20,45.0,12,1,1782,16,7,2551,44,12,6826
43,Jadon Sancho,Ailier Gauche,23,45.0,5,3,2478,7,3,2432,86,81,18126
44,Yéremy Pino,Ailier Droit,20,40.0,7,4,2222,4,7,2971,18,12,6597
45,Karim Adeyemi,Ailier Gauche,21,40.0,23,9,2988,9,6,1870,80,50,11985
46,Mikel Oyarzabal,Ailier Gauche,26,40.0,15,4,2548,4,1,1453,86,51,23445
47,Federico Chiesa,Ailier Gauche,25,40.0,4,4,1205,4,6,1483,67,49,20188
48,Tammy Abraham,Avant-Centre,25,40.0,27,5,4257,9,7,3185,161,44,25578
49,Ollie Watkins,Avant-Centre,27,40.0,11,2,3045,16,6,3315,118,48,27304
50,Romelu Lukaku,Avant-Centre,30,40.0,15,2,2748,14,7,1988,288,94,43874
51,Michael Olise,Ailier Droit,21,38.0,4,9,1564,2,11,3000,21,38,12153
52,Anthony Gordon,Ailier Gauche,22,38.0,4,3,2676,4,0,1637,32,19,9565
53,Jarrod Bowen,Ailier Droit,26,38.0,18,13,4090,13,8,4245,96,46,23102
54,Elye Wahi,Avant-Centre,20,35.0,10,2,1931,19,6,2530,35,9,5676
55,Ansu Fati,Ailier Gauche,20,35.0,6,1,573,10,4,1824,33,13,4957
56,Amine Gouiri,Avant-Centre,23,35.0,12,10,3202,17,8,3441,63,31,13151
57,Bryan Mbeumo,Ailier Droit,24,35.0,8,7,3055,9,8,2937,56,40,15952
58,Giacomo Raspadori,Deuxième Attaquant,23,35.0,10,6,2933,6,5,1351,67,22,13493
59,Harvey Barnes,Ailier Gauche,25,35.0,11,14,3205,13,3,3247,79,55,21384
60,Loïs Openda,Avant-Centre,23,35.0,24,6,4067,21,4,2800,64,22,11635
61,Ivan Toney,Avant-Centre,27,35.0,14,6,3120,21,5,3063,165,59,28388
62,Leandro Trossard,Ailier Gauche,28,35.0,8,3,2874,8,13,2425,103,53,25792
63,Lionel Messi,Ailier Droit,36,35.0,11,15,2873,29,21,4021,718,340,72312
64,Vitor Roque,Avant-Centre,18,32.0,14,5,2542,17,8,2634,31,13,5312
65,João Pedro,Avant-Centre,21,32.0,4,1,1710,11,4,2791,34,11,9609
66,Kaoru Mitoma,Ailier Gauche,26,32.0,8,4,1742,10,8,2910,50,34,8571
67,Pedro Gonçalves,Ailier Gauche,25,32.0,15,14,2932,20,15,4230,74,46,16965
68,Marcus Thuram,Avant-Centre,26,32.0,3,1,1035,16,7,2698,63,35,16173
69,Miguel Almirón,Ailier Droit,29,32.0,1,0,1756,11,4,2939,51,34,20897
70,Allan Saint-Maximin,Ailier Gauche,26,32.0,5,5,2915,1,5,1374,28,40,18202
71,Nicolas Jackson,Avant-Centre,22,30.0,7,9,2397,13,5,2117,21,15,5398
72,Nico Williams,Ailier Droit,21,30.0,3,1,1633,9,6,3203,21,19,7286
73,Evan Ferguson,Avant-Centre,18,30.0,10,1,1431,16,5,2081,30,7,4494
74,Noni Madueke,Ailier Droit,21,30.0,9,6,1868,3,0,1116,39,27,7547
75,Folarin Balogun,Avant-Centre,22,30.0,18,6,2328,22,3,3146,102,25,12133
76,Nicolás González,Ailier Gauche,25,30.0,8,9,2698,14,5,2663,56,25,13906
77,Youssoufa Moukoko,Avant-Centre,18,30.0,3,2,482,7,6,1597,155,35,9931
78,Martin Terrier,Ailier Gauche,26,30.0,21,7,3379,12,5,1719,69,26,15154
79,Ademola Lookman,Deuxième Attaquant,25,30.0,8,5,2349,15,8,1857,50,26,13107
80,Ferran Torres,Ailier Droit,23,30.0,10,7,2584,7,3,1884,40,30,12602
81,Malcom,Ailier Droit,26,30.0,9,8,2598,26,9,2729,81,48,20562
82,Marcus Edwards,Ailier Droit,24,30.0,11,7,2257,12,14,3602,51,47,15390
83,Mattia Zaccagni,Ailier Gauche,28,30.0,7,7,2707,10,10,3517,36,46,21335
84,Ángel Correa,Ailier Droit,28,30.0,13,6,2424,10,4,1928,81,76,23889
85,Paulo Dybala,Deuxième Attaquant,29,30.0,15,6,2614,18,8,2502,163,72,29952
86,Sébastien Haller,Avant-Centre,29,30.0,34,9,3493,9,5,1443,164,62,27997
87,Robert Lewandowski,Avant-Centre,34,30.0,50,7,4006,33,8,3954,542,143,59712
88,Armando Broja,Avant-Centre,21,28.0,9,1,2335,1,1,465,42,10,8130
89,Pedro Neto,Ailier Droit,23,28.0,1,1,463,1,1,1089,14,14,6979
90,Jérémy Doku,Ailier Droit,21,28.0,2,2,698,7,4,1615,18,18,7751
91,Leon Bailey,Ailier Gauche,26,28.0,1,2,754,5,4,2123,60,53,18355
92,Donyell Malen,Ailier Droit,24,28.0,9,6,2312,10,8,2191,108,52,17318
93,Emiliano Buendía,Ailier Droit,26,28.0,4,6,2070,5,3,2494,50,65,21181
94,Aleksandar Mitrovic,Avant-Centre,28,28.0,43,7,3961,15,4,2227,197,48,32453
95,Endrick,Avant-Centre,17,25.0,12,1,1082,7,1,1510,19,2,2592
96,Dango Ouattara,Ailier Droit,21,25.0,2,2,1136,7,9,2797,9,11,4113
97,Alejandro Garnacho,Ailier Gauche,19,25.0,15,6,2147,6,6,1447,28,16,4518
98,Boulaye Dia,Avant-Centre,26,25.0,7,6,1651,16,6,2523,68,16,12380
99,Beto,Avant-Centre,25,25.0,13,0,2601,10,2,2195,48,6,9037
100,Santiago Gimenez,Avant-Centre,22,25.0,9,2,2176,28,3,3027,62,14,12009
101,Pepê,Ailier Gauche,26,25.0,6,6,2121,5,10,4259,43,36,14952
102,Matheus Cunha,Avant-Centre,24,25.0,7,7,1342,2,3,1564,41,30,10673
103,Kevin Schade,Ailier Droit,21,25.0,7,2,1084,1,3,1044,35,22,9091
104,David Neres,Ailier Droit,26,25.0,4,2,785,12,16,2988,65,58,14676
105,Takefusa Kubo,Ailier Droit,22,25.0,2,3,1769,9,9,2916,30,28,13132
106,Samuel Chukwueze,Ailier Droit,24,25.0,7,3,1767,13,11,3262,41,33,13456
107,Tetê,Ailier Droit,23,25.0,12,7,2383,7,5,2107,40,25,9266
108,Arnaut Danjuma,Ailier Gauche,26,25.0,16,4,2382,8,0,1011,75,36,14240
